jarak,waktu_milli,waktu_second,zona
2,156,0,AWAS
2,171,0,AWAS
2,151,0,AWAS
2,138,0,AWAS
2,151,0,AWAS
2,143,0,AWAS
3,182,0,AWAS
3,197,0,AWAS
4,241,0,AWAS
3,234,0,AWAS
3,210,0,AWAS
3,209,0,AWAS
4,242,0,AWAS
3,206,0,AWAS
2,134,0,AWAS
2,156,0,AWAS
3,186,0,AWAS
3,223,0,AWAS
4,260,0,AWAS
4,290,0,AWAS
5,352,0,AWAS
6,387,0,AWAS
7,459,0,AWAS
8,507,0,AWAS
9,577,0,AWAS
10,594,0,AWAS
10,614,0,AWAS
11,658,0,AWAS
11,704,0,AWAS
12,752,0,AWAS
13,798,0,AWAS
14,839,0,AWAS
15,916,0,AWAS
16,964,0,AWAS
17,1014,1,AWAS
17,1038,1,AWAS
18,1076,1,AWAS
18,1111,1,AWAS
20,1179,1,AWAS
20,1200,1,AWAS
21,1266,1,AWAS
22,1327,1,AWAS
22,1336,1,AWAS
23,1358,1,AWAS
23,1378,1,AWAS
24,1463,1,AWAS
23,1404,1,AWAS
23,1386,1,AWAS
24,1417,1,AWAS
23,1408,1,AWAS
24,1417,1,AWAS
24,1417,1,AWAS
24,1421,1,AWAS
24,1431,1,AWAS
24,1457,1,AWAS
24,1440,1,AWAS
24,1440,1,AWAS
24,1422,1,AWAS
24,1448,1,AWAS
25,1477,1,AWAS
25,1479,1,AWAS
24,1462,1,AWAS
24,1457,1,AWAS
25,1494,1,AWAS
24,1470,1,AWAS
25,1514,1,AWAS
24,1470,1,AWAS
24,1448,1,AWAS
24,1421,1,AWAS
24,1422,1,AWAS
24,1413,1,AWAS
23,1407,1,AWAS
23,1409,1,AWAS
23,1405,1,AWAS
23,1383,1,AWAS
22,1346,1,AWAS
22,1333,1,AWAS
21,1249,1,AWAS
21,1241,1,AWAS
20,1201,1,AWAS
19,1155,1,AWAS
18,1109,1,AWAS
18,1070,1,AWAS
17,1028,1,AWAS
16,996,0,AWAS
16,965,0,AWAS
15,937,0,AWAS
15,910,0,AWAS
15,884,0,AWAS
14,864,0,AWAS
14,840,0,AWAS
13,816,0,AWAS
14,825,0,AWAS
12,757,0,AWAS
12,757,0,AWAS
12,729,0,AWAS
11,676,0,AWAS
11,672,0,AWAS
11,648,0,AWAS
10,595,0,AWAS
9,563,0,AWAS
9,565,0,AWAS
8,517,0,AWAS
8,517,0,AWAS
7,466,0,AWAS
7,440,0,AWAS
7,440,0,AWAS
7,422,0,AWAS
6,383,0,AWAS
6,363,0,AWAS
5,346,0,AWAS
5,333,0,AWAS
5,342,0,AWAS
5,328,0,AWAS
4,283,0,AWAS
4,258,0,AWAS
4,267,0,AWAS
3,232,0,AWAS
4,241,0,AWAS
3,219,0,AWAS
3,180,0,AWAS
3,193,0,AWAS
2,156,0,AWAS
2,167,0,AWAS
2,151,0,AWAS
2,143,0,AWAS
2,138,0,AWAS
2,173,0,AWAS
3,180,0,AWAS
4,254,0,AWAS
4,256,0,AWAS
4,248,0,AWAS
3,206,0,AWAS
3,223,0,AWAS
3,223,0,AWAS
3,223,0,AWAS
3,193,0,AWAS
3,215,0,AWAS
3,193,0,AWAS
3,215,0,AWAS
3,234,0,AWAS
4,256,0,AWAS
3,206,0,AWAS
2,147,0,AWAS
2,147,0,AWAS
3,180,0,AWAS
3,219,0,AWAS
4,250,0,AWAS
4,287,0,AWAS
5,328,0,AWAS
6,369,0,AWAS
7,436,0,AWAS
8,505,0,AWAS
9,568,0,AWAS
9,581,0,AWAS
10,621,0,AWAS
11,664,0,AWAS
11,675,0,AWAS
12,739,0,AWAS
12,752,0,AWAS
13,818,0,AWAS
14,828,0,AWAS
14,861,0,AWAS
15,888,0,AWAS
15,896,0,AWAS
15,929,0,AWAS
16,993,0,AWAS
17,1001,1,AWAS
18,1078,1,AWAS
18,1065,1,AWAS
19,1124,1,AWAS
19,1163,1,AWAS
20,1213,1,AWAS
21,1251,1,AWAS
21,1281,1,AWAS
22,1345,1,AWAS
24,1454,1,AWAS
24,1467,1,AWAS
24,1421,1,AWAS
25,1485,1,AWAS
25,1524,1,AWAS
25,1518,1,AWAS
25,1489,1,AWAS
27,1598,1,AWAS
25,1502,1,AWAS
25,1509,1,AWAS
26,1585,1,AWAS
25,1489,1,AWAS
24,1461,1,AWAS
24,1461,1,AWAS
25,1489,1,AWAS
24,1434,1,AWAS
24,1421,1,AWAS
23,1395,1,AWAS
23,1367,1,AWAS
22,1349,1,AWAS
22,1323,1,AWAS
21,1293,1,AWAS
21,1254,1,AWAS
20,1214,1,AWAS
19,1163,1,AWAS
18,1114,1,AWAS
18,1070,1,AWAS
17,1033,1,AWAS
16,991,0,AWAS
15,934,0,AWAS
15,926,0,AWAS
15,893,0,AWAS
14,867,0,AWAS
14,838,0,AWAS
13,783,0,AWAS
13,775,0,AWAS
12,711,0,AWAS
11,676,0,AWAS
11,648,0,AWAS
11,648,0,AWAS
10,600,0,AWAS
10,595,0,AWAS
9,541,0,AWAS
8,508,0,AWAS
8,477,0,AWAS
7,444,0,AWAS
7,415,0,AWAS
6,388,0,AWAS
6,355,0,AWAS
5,333,0,AWAS
5,328,0,AWAS
5,296,0,AWAS
4,263,0,AWAS
3,215,0,AWAS
3,182,0,AWAS
2,160,0,AWAS
2,160,0,AWAS
2,147,0,AWAS
2,138,0,AWAS
2,156,0,AWAS
2,143,0,AWAS
4,261,0,AWAS
3,180,0,AWAS
3,197,0,AWAS
3,188,0,AWAS
3,232,0,AWAS
3,232,0,AWAS
4,237,0,AWAS
2,164,0,AWAS
2,151,0,AWAS
2,143,0,AWAS
2,167,0,AWAS
3,195,0,AWAS
3,232,0,AWAS
4,237,0,AWAS
5,324,0,AWAS
5,333,0,AWAS
6,359,0,AWAS
6,392,0,AWAS
7,453,0,AWAS
8,517,0,AWAS
9,530,0,AWAS
9,582,0,AWAS
10,613,0,AWAS
10,624,0,AWAS
11,667,0,AWAS
12,707,0,AWAS
12,744,0,AWAS
13,775,0,AWAS
14,829,0,AWAS
14,847,0,AWAS
15,893,0,AWAS
15,939,0,AWAS
16,956,0,AWAS
17,1013,1,AWAS
18,1079,1,AWAS
18,1074,1,AWAS
19,1147,1,AWAS
20,1197,1,AWAS
21,1241,1,AWAS
21,1278,1,AWAS
21,1282,1,AWAS
22,1328,1,AWAS
22,1349,1,AWAS
23,1368,1,AWAS
23,1354,1,AWAS
23,1389,1,AWAS
23,1405,1,AWAS
24,1440,1,AWAS
24,1444,1,AWAS
24,1459,1,AWAS
25,1494,1,AWAS
25,1503,1,AWAS
25,1525,1,AWAS
27,1599,1,AWAS
26,1579,1,AWAS
50,2981,2,AWAS
24,1453,1,AWAS
26,1576,1,AWAS
26,1576,1,AWAS
